Dataset,Group,Method,N,Precision,Recall,Authenticity,Coverage
Gluonts,m1_monthly,TSMixup,617,0.9854132901134521,0.9902755267423015,0.24311183144246354,0.9886547811993517
Gluonts,m1_monthly,MagnitudeWarping,617,0.9967585089141004,0.993517017828201,0.20907617504051865,0.9837925445705025
Gluonts,m1_monthly,Original_Data_Ref,617,1.0,1.0,0.0,1.0
M3,Monthly,TSMixup,1428,0.9852941176470589,0.9915966386554622,0.21428571428571427,0.9859943977591037
M3,Monthly,MagnitudeWarping,1428,0.9845938375350141,0.9929971988795518,0.2759103641456583,0.9712885154061625
M3,Monthly,Original_Data_Ref,1428,1.0,1.0,0.0,1.0
