Dataset_Full,Grasynda_Uniform,Grasynda_Vis_Horizontal,Grasynda_Vis_Natural,DBA,Jittering,MagnitudeWarping,Scaling,SeasonalMBB,TSMixup,TimeWarping
Gluonts - m1_monthly,0.96106714,0.9474521,0.9601615,0.9902328,0.94113785,0.97212374,0.92519355,0.94280064,0.9554788,0.9624689
Gluonts - m1_quarterly,1.0655121,1.0748745,1.0728551,1.0577775,1.0461515,1.0003177,1.0332778,1.0490657,1.0917096,1.0790749
M3 - Monthly,0.7569335521493219,0.7638147200512928,0.7621931715881365,0.7867393748236646,0.7639871781387587,0.77420182719084,0.7616919966622725,0.756110671833867,0.7637177054957041,0.7707000938277158
M3 - Quarterly,1.1839440520369366,1.1870280385811245,1.1823078814148014,1.1345276102765955,1.1509630223857104,1.1821306158966125,1.1073476770404385,1.1605778141556429,1.224856248621967,1.1546591974627711
Tourism - Monthly,1.1876560561280365,1.219339969078861,1.175468342948677,1.1909290489114237,1.2057122091144898,1.2006539411302797,1.2089069123604572,1.1863073364752426,1.1704227853721445,1.2531382413443963
Tourism - Quarterly,1.5323105104061787,1.6157427187204836,1.578325209203591,1.558168817042396,1.551516860648642,1.6479977768214311,1.6244676086558678,1.656889979779854,1.548923308721449,1.6808157355027302
