Dataset_Full,Grasynda_Uniform,Grasynda_Vis_Horizontal,Grasynda_Vis_Natural,DBA,Jittering,MagnitudeWarping,Scaling,SeasonalMBB,TSMixup,TimeWarping
Gluonts - m1_monthly,0.9720975,0.9645406,0.9806556,0.9798441,0.94323415,1.0645729,0.9706191,0.9675272,1.0473188,1.1419575
Gluonts - m1_quarterly,1.0319611,1.1157178,1.0693473,1.0475302,1.0332711,0.9774014,1.1683975,1.0504069,1.0635524,1.2218243
M3 - Monthly,0.7827022756949167,0.8070590007252966,0.8113062636692923,0.7982437313861009,0.7811154681188084,0.8363762298908443,0.9033330077899298,0.7836082993926463,0.7819898599125247,0.9543229952623028
M3 - Quarterly,1.2088455366127546,1.203338055434688,1.2425910994250926,1.2423288441382572,1.2296449304194883,1.2756945970022406,1.272106425682998,1.2367706656353852,1.510064209706344,1.412890574314848
Tourism - Monthly,1.1985160385177744,1.230760596139876,1.21125733500001,1.226454008670563,1.2214074887800517,1.2279744769090917,1.2313421728673994,1.2245304487827895,1.2687177496672173,2.3529291182041794
Tourism - Quarterly,1.536966891512107,1.5481080704630297,1.576091803265237,1.714158885901702,1.621228367307599,1.6490996892686152,1.6355925059615788,1.7532662404336798,1.7980789648898383,3.071153732346842
