Dataset,Grasynda_Uniform,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA
Gluonts - m1_monthly,0.954958200454712,0.9515777230262756,0.9726837277412416,0.9453368782997132,0.9742283821105956,0.9830352663993835,0.9618670344352722,0.9787758588790894
Gluonts - m1_quarterly,1.0465850830078125,1.0414220094680786,1.0393908023834229,1.0444360971450806,1.0672272443771362,1.011553406715393,1.0537292957305908,1.0705691576004028
M3 - Monthly,0.7556778050683655,0.7524141893961527,0.7867379820451661,0.7743794217238742,0.7681802357602687,0.763112182774228,0.7664208876427518,0.7714199281708178
M3 - Quarterly,1.223879508830192,1.1789376882964424,1.1711792600355329,1.1002431897820448,1.1397601806682447,1.1858971678613723,1.179393473811475,1.1719803429152202
Tourism - Monthly,1.1742578700205744,1.196204122854437,1.2012174151228736,1.2030732571120877,1.2358928368088598,1.1992370255611922,1.1903658616073236,1.1804694046952258
Tourism - Quarterly,1.5928054902789088,1.6336875560336526,1.594528613394283,1.605200241965861,1.6775110947219514,1.636565913063843,1.573075598954076,1.6110067283913605
