Dataset_Full,Grasynda_Uniform,Grasynda_Vis_Horizontal,Grasynda_Vis_Natural,DBA,Jittering,MagnitudeWarping,Scaling,SeasonalMBB,TSMixup,TimeWarping
Gluonts - m1_monthly,0.9628343,0.9703824,0.9843051,1.0087404,0.9564085,1.0935677,0.965554,0.9652551,1.1137971,1.1277179
Gluonts - m1_quarterly,1.057481,1.1383306,1.097429,1.050148,1.061519,1.0059344,1.1820587,1.0616949,1.110788,1.2661043
M3 - Monthly,0.7913448207951556,0.8718029061084097,0.8525944001528023,0.8335443717982217,0.7900846305776201,0.8292588971350172,0.891085520953443,0.8103803415953306,0.831364343554257,0.9805680880189556
M3 - Quarterly,1.1793088506719245,1.1969974846530869,1.2257409845495393,1.190000735345765,1.1888993018875444,1.2934698159337592,1.241247693527041,1.2140021513213202,1.311730013474372,1.5039667125010316
Tourism - Monthly,1.176245260474622,1.2445404050236957,1.197538275258352,1.2092655548255142,1.2010714254055284,1.2018605460164102,1.214227369289261,1.2078208361567149,1.2119162096308755,2.311569872933973
Tourism - Quarterly,1.5347862121037652,1.5872610850864068,1.6047025241073878,1.7196107894750023,1.6111943785573932,1.6829608671158272,1.6313890136861944,1.694471775299925,1.738119716076431,2.97008008502366
