Dataset_Full,Grasynda_Uniform,Grasynda_Vis_Horizontal,Grasynda_Vis_Natural,DBA,Jittering,MagnitudeWarping,Scaling,SeasonalMBB,TSMixup,TimeWarping
Gluonts - m1_monthly,0.93512285,0.95729333,0.9495999,0.975286,0.948214,0.98227,0.9475516,0.9655768,0.948738,0.97772986
Gluonts - m1_quarterly,1.0161638,1.0704441,1.0409054,1.0566719,1.0361072,0.99069834,1.0452073,1.03411,1.0212977,1.0801452
M3 - Monthly,0.7454043206953236,0.7577007727106511,0.7590589229453145,0.7847022620207974,0.7922055317760336,0.774124457925407,0.7630878184186076,0.7594220833128166,0.762230383922352,0.7726728164864904
M3 - Quarterly,1.1977930323136234,1.1861617277728371,1.2183487780744442,1.1814230744338234,1.169043489769847,1.1959115865493437,1.0977113732289194,1.2060167381776177,1.174113958986445,1.129340588683987
Tourism - Monthly,1.1873193140553917,1.2065874143347102,1.1867358477340382,1.1902105741980429,1.1929496747446815,1.1989261401147582,1.2138528365648364,1.1786783325974306,1.1734402463390214,1.2289289895791184
Tourism - Quarterly,1.560223709338488,1.5817196030104734,1.5496726080341507,1.6092035548576635,1.6019954866861887,1.6201092546497498,1.676390240349586,1.6372137301888547,1.6553509950609806,1.628212449791372
