Dataset,Grasynda_Uniform,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA
Gluonts - m1_monthly,1.987230910866231,0.8708520137239212,-1.9751301020134708,2.418342205585935,17.203594528915563,11.373449720920206,13.779456247458164,5.141788624342288
Gluonts - m1_quarterly,5.184299764358721,4.512881691458675,0.1912021985901662,13.450175857300795,14.517314673772871,-4.331871039210892,0.593495745488172,2.3297146009975966
M3 - Monthly,3.842329592968219,8.966163885252865,4.018110791323068,16.98814017042367,23.98325961622112,10.15074774518342,9.64456000346106,7.2287579600873855
M3 - Quarterly,-3.641752109469778,6.365215396507741,2.609087098224303,12.543200651513676,28.0372317382312,9.575008401105581,7.719367755365064,2.875019371960629
Tourism - Monthly,0.8452581185810262,1.098985461691448,0.286281269578457,0.517757823994722,78.83706103840137,0.45026454425596324,4.703582892364387,1.4519210223462324
Tourism - Quarterly,0.9540231254746836,2.22057230431967,2.9282523756266867,0.6185152125370946,83.31735043425175,0.30339885661203436,10.777721632273726,2.625688093060763
