Dataset_Full,Grasynda_Uniform,Grasynda_Vis_Horizontal,Grasynda_Vis_Natural,DBA,Jittering,MagnitudeWarping,Scaling,SeasonalMBB,TSMixup,TimeWarping
Gluonts - m1_monthly,0.94407195,0.9448687,0.94149065,0.9523464,0.95583206,0.97333574,0.93537164,0.9392968,0.9503745,0.99896646
Gluonts - m1_quarterly,1.0142393,1.047733,1.030118,1.0570148,1.0116816,0.96651584,1.0327065,1.0146505,1.0294402,1.081182
M3 - Monthly,0.7767604073584407,0.7842533703520722,0.7866999368392983,0.7791988037284253,0.7843161619823277,0.7970477247909281,0.7961716552525643,0.7749570882601549,0.775978216364993,0.8037872751637228
M3 - Quarterly,1.2224129856280788,1.215316536976032,1.234608214489262,1.1618724813957295,1.2227917776586683,1.2076856416200292,1.153599891164058,1.1989680105294158,1.273738571449457,1.1909113400026698
Tourism - Monthly,1.1878595272360306,1.193721528444275,1.1929711871116635,1.195159750603981,1.221874534093324,1.2237814273803125,1.230319777665374,1.20884610109009,1.2060671624270165,1.2548693876056891
Tourism - Quarterly,1.5500365034144503,1.530129555101971,1.5434757764261402,1.603435097487954,1.6311455292880082,1.593206436729636,1.6348778278864056,1.628239161202448,1.641858401842806,1.6297035613986943
