Dataset_Full,Grasynda_Uniform,Grasynda_Vis_Horizontal,Grasynda_Vis_Natural,DBA,Jittering,MagnitudeWarping,Scaling,SeasonalMBB,TSMixup,TimeWarping
Gluonts - m1_monthly,0.9537875,0.963593,0.9504443,1.077893,0.9211945,1.0287623,0.93331254,0.95980114,1.009466,1.1475217
Gluonts - m1_quarterly,1.0743918,1.1410733,1.1036359,1.0281986,1.0863225,0.9941369,1.175107,1.0794818,1.1051159,1.2366372
M3 - Monthly,0.7711681649726522,0.8186780372978394,0.8261096294082467,0.7993324003001251,0.7627215339932942,0.815042648130498,0.8588304808486029,0.785500463306821,0.7871678346521832,0.9492764073844066
M3 - Quarterly,1.161902467035982,1.164480722298251,1.208647045643748,1.2179014031453197,1.1581044950306745,1.2737090348219398,1.2336654567940588,1.2240058962540732,1.2410050841945226,1.4370266828084342
Tourism - Monthly,1.1768737579049398,1.2364620806700248,1.2343575148736845,1.340374928510123,1.1881786121908942,1.2047262249974,1.232403788371114,1.2038977775588626,1.2345198779208018,2.3323666128616822
Tourism - Quarterly,1.5154255912528451,1.699671769418423,1.5053260349175333,1.739494516976556,1.5907335027966447,1.6894575111492804,1.694859144676536,1.753125650936612,1.6716386981935447,3.1452029526386265
