dataset,group,original,grasynda_neural,grasynda_kde,grasynda_uniform,SeasonalNaive
Gluonts,m1_monthly,0.9831712245941162,0.9725937247276306,0.9454468488693237,0.9549582004547119,1.2207040786743164
Gluonts,m1_quarterly,1.0211008787155151,1.0270241498947144,1.0649819374084473,1.0465850830078125,1.6469730138778687
M3,Monthly,0.794920175458292,0.7779044248308601,0.7581263085903999,0.7556778050683655,1.0910284651273285
M3,Quarterly,1.2146591760809642,1.2781002974522933,1.1813389938396546,1.2238795088301921,1.4168035695573353
Tourism,Monthly,1.1879690419356401,1.2349695641231992,1.186153638909733,1.1742578700205744,1.344767514206204
Tourism,Quarterly,1.5861404929602207,1.5812483448738859,1.7840731252695894,1.5928054902789088,1.7015929797369151
