dataset,group,SeasonalNaive,original,grasynda_uniform,grasynda_vis_degree,grasynda_vis_hybrid
Gluonts,m1_monthly,1.2207040786743164,0.9691795110702515,0.9517161846160889,0.9539515376091003,0.9677479267120361
Gluonts,m1_quarterly,1.6469730138778687,1.0211008787155151,1.025444746017456,1.0555299520492554,1.0345592498779297
M3,Monthly,1.0910284651273285,0.794920175458292,0.7525305364121057,0.7655343766364744,0.774508198051431
M3,Quarterly,1.4168035695573353,1.2146591760809642,1.2074944203899722,1.1287416520512672,1.1323194599543664
Tourism,Monthly,1.344767514206204,1.1879690419356401,1.2173739069225986,1.2532401804143,1.273864028430306
Tourism,Quarterly,1.7015929797369151,1.5861404929602207,1.5638840124762323,1.5898947035240614,1.7225305081753457
