,Average Rank
grasynda_uniform,4.333333333333333
SeasonalMBB,4.333333333333333
Scaling,4.833333333333333
TSMixup,4.833333333333333
Jittering,5.5
grasynda_kde,5.666666666666667
MagnitudeWarping,6.166666666666667
original,6.166666666666667
DBA,6.166666666666667
TimeWarping,7.166666666666667
SeasonalNaive,10.833333333333334
