dataset,group,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA
Gluonts,m1_monthly,0.9598645567893982,0.9534719586372375,0.9681983590126038,1.1418306827545166,1.0948402881622314,1.094407081604004,1.0291024446487427
Gluonts,m1_quarterly,1.0884201526641846,1.041378140449524,1.1849145889282227,1.2221599817276,0.9677342176437378,1.0599831342697144,1.0955103635787964
M3,Monthly,0.8198768787133086,0.8183499858011603,0.9059320833372422,0.9524148960231534,0.8405737754604029,0.8403388100305159,0.8271840076341662
M3,Quarterly,1.25397961154712,1.2017363470061988,1.2382489007310211,1.459317383782283,1.2994469213125721,1.270435193337758,1.2056750048096034
Tourism,Monthly,1.2093502322567609,1.2046562755892847,1.2093022630291737,2.210234426933091,1.204636764688884,1.2463557066304316,1.1976088881443612
Tourism,Quarterly,1.6699647694420527,1.6412204353960484,1.6151286496541022,3.0751688920848923,1.641531235331781,1.7426173080745688,1.6533067402371402
