Method,Train+Real,TSTR,Degradation_%,Category
TimeWarping,1.143799995741176,1.6768543772175895,46.60381040926628,Other
TSMixup,1.1208086920302482,1.2090228723244987,7.870583171018959,Other
Scaling,1.1121115143381104,1.186954140782061,6.729777138266055,Other
MagnitudeWarping,1.1299001603959022,1.174793867099935,3.9732454492530147,Other
SeasonalMBB,1.1257072148458398,1.1669093669021375,3.6601126396742663,Other
DBA,1.130703570108686,1.168064574842135,3.3042262995470786,Other
Jittering,1.1276229667870867,1.1434688571465756,1.4052472170408419,Other
Grasynda_Uniform,1.1246939929434274,1.1384975845000003,1.2273197548114916,Grasynda
