dataset,group,SeasonalNaive,original,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA
Gluonts,m1_monthly,1.2207040786743164,0.9691795110702515,0.9515777230262756,0.9726837277412415,0.9453368782997131,0.9742283821105957,0.9830352663993835,0.9618670344352722,0.9787758588790894
Gluonts,m1_quarterly,1.6469730138778687,1.0211008787155151,1.0414220094680786,1.0393908023834229,1.0444360971450806,1.0672272443771362,1.011553406715393,1.0537292957305908,1.0705691576004028
M3,Monthly,1.0910284651273285,0.794920175458292,0.7524141893961527,0.7867379820451661,0.7743794217238742,0.7681802357602687,0.763112182774228,0.7664208876427518,0.7714199281708178
M3,Quarterly,1.4168035695573353,1.2146591760809642,1.1789376882964424,1.1711792600355329,1.1002431897820448,1.1397601806682447,1.1858971678613723,1.179393473811475,1.1719803429152202
Tourism,Monthly,1.344767514206204,1.1879690419356401,1.196204122854437,1.2012174151228736,1.2030732571120877,1.2358928368088598,1.1992370255611922,1.1903658616073236,1.1804694046952258
Tourism,Quarterly,1.7015929797369151,1.5861404929602207,1.6336875560336526,1.5945286133942833,1.605200241965861,1.6775110947219514,1.636565913063843,1.573075598954076,1.6110067283913605
